Date,Price,Open,High,Low,Vol.,Change %
"Mar 16, 2015",171.66,171.66,171.66,171.66,0,-0.2
"Mar 13, 2015",172.01,172.01,172.01,172.01,0,-0.24
"Mar 12, 2015",172.42,172.42,172.42,172.42,0,-0.17
"Mar 11, 2015",172.71,172.71,172.71,172.71,0,0.11
"Mar 10, 2015",172.52,172.52,172.52,172.52,0,0.5
"Mar 09, 2015",171.67,171.67,171.67,171.67,0,-0.49
"Mar 06, 2015",172.51,172.51,172.51,172.51,0,0.13
"Mar 05, 2015",172.28,172.28,172.28,172.28,0,-0.3
"Mar 04, 2015",172.8,172.8,172.8,172.8,0,-0.16
"Mar 03, 2015",173.07,173.07,173.07,173.07,0,-0.93
"Mar 02, 2015",174.7,174.7,174.7,174.7,0,-0.57
"Feb 27, 2015",175.7,175.7,175.7,175.7,0,-0.15
"Feb 26, 2015",175.97,175.97,175.97,175.97,0,-0.87
"Feb 25, 2015",177.51,177.51,177.51,177.51,0,0.39
"Feb 24, 2015",176.82,176.82,176.82,176.82,0,0.57
"Feb 23, 2015",175.81,175.81,175.81,175.81,0,-0.11
"Feb 20, 2015",176,176,176,176,0,0.2
"Feb 19, 2015",175.65,175.65,175.65,175.65,0,0.85
"Feb 18, 2015",174.17,174.17,174.17,174.17,0,0.73
"Feb 17, 2015",172.9,172.9,172.9,172.9,0,0.26
"Feb 16, 2015",172.45,172.45,172.45,172.45,0,0.3
"Feb 13, 2015",171.94,171.94,171.94,171.94,0,0.16
"Feb 12, 2015",171.67,171.67,171.67,171.67,0,0.93
"Feb 11, 2015",170.09,170.09,170.09,170.09,0,0.45
"Feb 10, 2015",169.32,169.32,169.32,169.32,0,0.17
"Feb 09, 2015",169.03,169.03,169.03,169.03,0,0.5
"Feb 06, 2015",168.19,168.19,168.19,168.19,0,-0.11
"Feb 05, 2015",168.37,168.37,168.37,168.37,0,0.26
"Feb 04, 2015",167.94,167.94,167.94,167.94,0,0.65
"Feb 03, 2015",166.85,166.85,166.85,166.85,0,0.36
"Feb 02, 2015",166.25,166.25,166.25,166.25,0,0.27
"Jan 30, 2015",165.8,165.8,165.8,165.8,0,0.34
"Jan 29, 2015",165.23,165.23,165.23,165.23,0,-0.39
"Jan 28, 2015",165.88,165.88,165.88,165.88,0,0.04
"Jan 27, 2015",165.82,165.82,165.82,165.82,0,0.13
"Jan 26, 2015",165.61,165.61,165.61,165.61,0,-0.64
